jpc,mass,merr+,merr-,width,werr+,werr-,name
1,9.3987,0.0020,0.0020,62.3,3.2,3.2,etab1s
2,9.46030,0.00026,0.00026,0.00005402,0.00000125,0.00000125,upsilon1s
4,9.85944,0.00073,0.00073,0.0325,0.0009,0.0009,chib010
5,9.89278,0.00026,0.00026,0,0,0,chib11p
3,9.8993,0.0008,0.0008,0,0,0,hb1p
6,9.91221,0.00057,0.00057,0,0,0,chib21p
1,9.999,0.004,0.004,0.024,0,0,etab2s
2,10.02326,0.00031,0.00031,0.00003198,0.00000263,0.00000263,upsilon2s
8,10.1637,0.0014,0.0014,0,0,0,upsilon21D
4,10.2325,0.0009,0.0009,0,0,0,chib02p
5,10.25546,0.00072,0.00072,0,0,0,chib12p
3,10.2598,0.0012,0.0012,0,0,0,hb2p
6,10.26865,0.00072,0.00072,0,0,0,chib22p
2,10.3552,0.0005,0.0005,0.00002032,0.00000185,0.00000185,upsilon3s
5,10.5134,0.0007,0.0007,0,0,0,chib13p
6,10.5240,0.0008,0.0008,0,0,0,chib23p
2,10.5794,0.0012,0.0012,0.0205,0.0025,0.0025,upsilon4s
2,10.753,0.006,0.006,0.036,0.018,0.012,upsilon_10753
2,10.8852,0.0026,0.0016,0.037,0.004,0.004,upsilon_10860
2,11.000,0.004,0.024,0.008,0.006,upsilon_11020










