jpc,mass,merr
1,9.509,8
2,9.509,8
3,9.885,11
4,9.885,11
5,9.885,11
6,9.885,11
7,10.151,9
2,10.151,9
8,10.151,9
9,10.151,9
1,10.017,0
2,10.017,0
3,10.248,10
4,10.248,10
5,10.248,10
6,10.248,10
7,10.448,10
2,10.448,10
8,10.448,10
9,10.448,10
1,10.359,9
2,10.359,9
3,10.540,11
4,10.540,11
5,10.540,11
6,10.540,11
7,10.714,12
2,10.714,12
8,10.714,12
9,10.714,12
1,10.641,12
2,10.641,12
3,10.804,12
4,10.804,12
5,10.804,12
6,10.804,12
7,10.955,13
2,10.955,13
8,10.955,13
9,10.955,13
1,10.899,12
2,10.899,12
3,11.044,12
4,11.044,12
5,11.044,12
6,11.044,12
7,11.179,14
2,11.179,14
8,11.179,14
9,11.179,14
1,11.132,14
2,11.132,14
3,11.264,14
4,11.264,14
5,11.264,14
6,11.264,14
7,11.392,15
2,11.392,15
8,11.392,15
9,11.392,15
