jpc,mass,merr+,merr-,width,werr+,werr-,name
1,2.9839,0.0004,0.0004,32.0,0.7,0.7,etac1s
2,3.0969,0.0006,0.0006,0.0929,0.0017,0.0017,jpsi1s
4,3.41471,0.00030,0.00030,10.8,0.60,0.60,chic01p
5,3.51076,0.00005,0.00005,0.84,0.04,0.04,chic11p
3,3.52538,0.00011,0.00011,0.70,0.40,0.40,hc1p
6,3.55617,0.00007,0.00007,1.97,0.09,0.09,chic21p
1,3.63750,0.00110,0.00110,11.3,3.20,2.90,etac2s
2,3.68610,0.00006,0.00006,0.294,0.008,0.008,psi2s
2,3.77370,0.00040,0.00040,27.2,1.0,1.0,psi3770
8,3.82370,0.00050,0.00050,5.2,0,0,psi2_3823
9,3.84271,0.00020,0.00020,2.8,0.6,0.6,psi3_3842
4,3.862,0.050,0.035,201,180,110,chic0_3860
5,3.87165,0.00006,0.00006,1.19,0.21,0.21,chic1_3872
4,3.9217,0.0018,0.0018,18.8,3.5,3.5,chic0_3915
6,3.9225,0.0010,0.0010,35.2,2.2,2.2,chic2_3930
2,4.039,0.001,0.001,80,10,10,psi_4040
5,4.1465,0.0030,0.0030,19,7,5,chic1_4140
2,4.191,0.005,0.005,70,10,10,psi_4160
2,4.2227,0.0026,0.0026,49,8,8,psi_4230
5,4.286,0.008,0.009,51,7,7,chic1_4274
2,4.372,0.009,0.009,115,13,13,psi_4360
2,4.421,0.004,0.004,62,20,20,psi_4415
4,4.474,0.004,0.004,77,12,10,chic0_4500
2,4.630,0.006,0.006,72,14,12,psi_4660
5,4.684,0.015,0.017,126,40,40,chic1_4685
4,4.694,0.016,0.005,87,18,10,chic0_4700














