jpc,mass,merr
1,3.052,38
2,3.052,38
3,3.473,38
4,3.473,38
5,3.473,38
6,3.473,38
7,3.788,39
2,3.788,39
8,3.788,39
9,3.788,39
1,3.67395,0
2,3.67395,0
3,3.951,39
4,3.951,39
5,3.951,39
6,3.951,39
7,4.224,39
2,4.224,39
8,4.224,39
9,4.224,39
1,4.143,39
2,4.143,39
3,4.392,40
4,4.392,40
5,4.392,40
6,4.392,40
7,4.623,40
2,4.623,40
8,4.623,40
9,4.623,40
1,4.555,40
2,4.555,40
3,4.780,40
4,4.780,40
5,4.780,40
6,4.780,40
7,4.985,41
2,4.985,41
8,4.985,41
9,4.985,41
1,4.927,40
2,4.927,40
3,5.129,41
4,5.129,41
5,5.129,41
6,5.129,41
7,5.317,42
2,5.317,42
8,5.317,42
9,5.317,42
1,5.266,41
2,5.266,41
3,5.453,42
4,5.453,42
5,5.453,42
6,5.453,42
7,5.630,42
2,5.630,42
8,5.630,42
9,5.630,42





